platform,wallet,nickname,rank,score,pnl,roi_pct,win_rate_pct,tx,estimated_wins,estimated_losses,estimated_loss_rate_pct,top_token_wins,top_token_losses,pnl_history_change,pnl_history_max_drawdown,top_tokens,profile_url
okx_web3,F5SqYvQdsPntppremojbPvFuoTg9bKDxzXNQmJkdXke8,F5SqYvQdsP,69,16.0786,1421.039103,259.5958,100.0,3,3.0,0.0,0.0,1,0,1421.0,0.0,Lucy,https://web3.okx.com/portfolio/F5SqYvQdsPntppremojbPvFuoTg9bKDxzXNQmJkdXke8/analysis?chainIndex=501
okx_web3,BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr,letterbomb 🟪🔶🟦⟠,44,16.0764,7347.564843,33.929108,58.9744,507,299.0,208.0,41.0256,3,0,319.0,-255.0,NICO|자산|푸바오,https://web3.okx.com/portfolio/BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr/analysis?chainIndex=501
okx_web3,6MjabKBkgxotx3QmY1nJnyaxjaZNKoc9hrdbPDjRytTF,6MjabKBkgx,81,16.0671,1416.491366,258.765018,100.0,3,3.0,0.0,0.0,1,0,1416.0,0.0,Lucy,https://web3.okx.com/portfolio/6MjabKBkgxotx3QmY1nJnyaxjaZNKoc9hrdbPDjRytTF/analysis?chainIndex=501
okx_web3,B32QbbdDAyhvUQzjcaM5j6ZVKwjCxAwGH5Xgvb9SJqnC,KADENOX,89,16.065,5076.370013,18.174212,68.2171,465,317.21,147.79,31.7829,3,0,1675.0,-341.0,ASTEROID|PUMPI|FIN,https://web3.okx.com/portfolio/B32QbbdDAyhvUQzjcaM5j6ZVKwjCxAwGH5Xgvb9SJqnC/analysis?chainIndex=501
okx_web3,CECN4BW4DKnbyddkd9FhWVR5dotzKhQr5p7DUPhQ55Du,Megz 📚,46,16.0496,7202.027029,35.424661,60.4167,354,213.88,140.12,39.5833,3,0,5402.0,-2074.0,清正|poopcat|ACAT,https://web3.okx.com/portfolio/CECN4BW4DKnbyddkd9FhWVR5dotzKhQr5p7DUPhQ55Du/analysis?chainIndex=501
okx_web3,AmHZr5CPJ88F5rMneFNSdbEqerDAozPkfLFErTuNLFjC,AmHZr5CPJ8,53,16.0114,6826.661981,299.881894,30.0,57,17.1,39.9,70.0,3,0,7155.0,0.0,GutGenug|Tourists|锄头,https://web3.okx.com/portfolio/AmHZr5CPJ88F5rMneFNSdbEqerDAozPkfLFErTuNLFjC/analysis?chainIndex=501
okx_web3,8V2EhfiLiM8R2jYH1y4xhoRNkZc3psseHbpcedYpZHgi,8V2EhfiLiM,21,15.9471,11841.1736,228.373033,28.5714,70,20.0,50.0,71.4286,2,0,2852.0,-192.0,PARQ|fable,https://web3.okx.com/portfolio/8V2EhfiLiM8R2jYH1y4xhoRNkZc3psseHbpcedYpZHgi/analysis?chainIndex=501
okx_web3,Gb96Sx8GY8kjSaza7ZGZwLqxMDiVeTJs2ycimPLEzbE1,Gb96Sx8GY8,59,15.9385,742.903209,501.311201,40.0,45,18.0,27.0,60.0,2,0,0.0,0.0,POKETCG|POKEGOTCHI,https://web3.okx.com/portfolio/Gb96Sx8GY8kjSaza7ZGZwLqxMDiVeTJs2ycimPLEzbE1/analysis?chainIndex=501
okx_web3,9C4CAHSm8uYvcPWmrNrzop67KWURqnPKEMDF4j24LorJ,9C4CAHSm8u,21,15.8899,582.454069,297.636922,100.0,8,8.0,0.0,0.0,3,0,-47.0,-47.0,Heart-Chan|Mani|FURBES,https://web3.okx.com/portfolio/9C4CAHSm8uYvcPWmrNrzop67KWURqnPKEMDF4j24LorJ/analysis?chainIndex=501
okx_web3,7J6vCDGJdFmhCdC51yijkpknm8weHCuKkp1cCMpdCNbS,7J6vCDGJdF,26,15.8898,10488.763668,109.471521,39.1304,349,136.57,212.43,60.8696,3,0,7513.0,-121.0,KINS|POKECR|VOXEL,https://web3.okx.com/portfolio/7J6vCDGJdFmhCdC51yijkpknm8weHCuKkp1cCMpdCNbS/analysis?chainIndex=501
okx_web3,7S1z2A7AsCu8pqFoMkhBKmF9xFZZu7QLjnLFhwhx1kDV,7S1z2A7AsC,90,15.8746,401.580411,368.579193,100.0,3,3.0,0.0,0.0,1,0,0.0,0.0,WERLD,https://web3.okx.com/portfolio/7S1z2A7AsCu8pqFoMkhBKmF9xFZZu7QLjnLFhwhx1kDV/analysis?chainIndex=501
okx_web3,G6fUXjMKPJzCY1rveAE6Qm7wy5U3vZgKDJmN1VPAdiZC,clukz,20,15.8603,12142.86752,30.025438,52.0,199,103.48,95.52,48.0,3,0,11260.0,-1174.0,getmeajob|Tyson|STARGRACE,https://web3.okx.com/portfolio/G6fUXjMKPJzCY1rveAE6Qm7wy5U3vZgKDJmN1VPAdiZC/analysis?chainIndex=501
okx_web3,7eFTf9pydRGY3smsQYMyzMXDW9hE9YNnAWZKUsZW5Kcn,7eFTf9pydR,43,15.853,373.511707,688.784155,20.0,12,2.4,9.6,80.0,1,0,-78.0,-78.0,goblintown,https://web3.okx.com/portfolio/7eFTf9pydRGY3smsQYMyzMXDW9hE9YNnAWZKUsZW5Kcn/analysis?chainIndex=501
okx_web3,Csx99jzSDjz88Ed3YHkZMB8vCKgEiChU1oaGPAGJMsVP,Csx99jzSDj,49,15.8157,7025.497175,180.39488,42.8571,121,51.86,69.14,57.1429,3,0,-28.0,-86.0,SLAB|Cockroach|福宝,https://web3.okx.com/portfolio/Csx99jzSDjz88Ed3YHkZMB8vCKgEiChU1oaGPAGJMsVP/analysis?chainIndex=501
